@relation incendios

@attribute 'mediasR' numeric
@attribute 'mediasG' numeric
@attribute 'mediasB' numeric
@attribute 'desvStdR' numeric
@attribute 'desvStdG' numeric
@attribute 'desvStdB' numeric
@attribute 'entropiasR' numeric
@attribute 'entropiasG' numeric
@attribute 'entropiasB' numeric
@attribute 'modaBN' numeric
@attribute 'rangosContrasteR' numeric
@attribute 'rangosContrasteG' numeric
@attribute 'rangosContrasteB' numeric
@attribute 'pendienteOscuridad' numeric
@attribute 'pendienteBrillo' numeric
@attribute 'brilloLimpia' numeric
@attribute 'coeficientesCorrelacionR' numeric
@attribute 'coeficientesCorrelacionG' numeric
@attribute 'coeficientesCorrelacionB' numeric
@attribute 'factorContraste' numeric
@attribute 'anisotropiasR' numeric
@attribute 'anisotropiasG' numeric
@attribute 'anisotropiasB' numeric


@attribute 'class' {nada,humo,fuego}
@data
17.041,17.073,19.073,0.320,0.259,0.259,0.573,0.375,0.375,0,4,2,2,222.588,15.899,17,3528.000,3488.000,3488.000,0.029,0.500,0.500,0.500,nada
16.288,16.407,18.407,1.071,1.003,1.003,1.436,1.103,1.103,0,82,82,82,151.375,10.134,16,243.000,269.000,269.000,0.745,0.287,0.364,0.364,nada
14.990,15.180,17.184,0.643,0.484,0.502,1.319,1.007,1.058,0,10,4,6,197.333,12.333,15,678.000,2816.000,1472.000,0.067,0.420,0.468,0.468,nada
17.924,15.684,15.527,2.378,1.381,1.045,2.894,2.430,2.066,0,16,10,10,77.333,4.833,16,472.000,412.000,346.000,0.152,0.329,0.271,0.206,nada
17.818,15.716,16.590,0.962,0.733,0.776,1.698,1.501,1.662,0,8,6,6,128.000,8.569,16,432.000,597.000,1480.000,0.059,0.283,0.251,0.271,nada
19.631,16.993,17.619,3.165,1.246,0.822,2.087,1.626,1.535,0,50,18,16,126.667,9.620,18,223.000,288.000,577.000,0.273,0.420,0.500,0.500,nada
20.425,17.443,17.729,4.611,1.953,0.950,2.390,2.098,1.767,0,50,22,22,118.056,8.966,18,83.000,1020.000,315.000,0.244,0.423,0.414,0.454,nada
18.676,17.124,18.347,0.616,0.467,0.885,1.187,0.967,1.360,0,6,4,6,196.000,14.886,18,2800.000,2904.000,2544.000,0.056,0.238,0.405,0.486,nada
18.536,17.736,19.033,0.982,0.626,0.948,1.621,1.317,1.555,0,18,8,8,187.111,14.211,18,524.000,781.000,848.000,0.128,0.309,0.319,0.390,nada
18.025,17.963,19.331,0.372,0.371,0.919,0.718,0.714,1.376,0,4,4,6,202.222,15.359,18,3280.000,3304.000,2368.000,0.056,0.371,0.371,0.494,nada
17.802,17.802,19.688,0.399,0.399,0.625,0.718,0.718,1.031,0,2,2,6,181.778,13.806,18,2464.000,2464.000,1013.000,0.029,0.400,0.400,0.055,nada
17.029,17.086,19.024,0.655,0.588,0.594,1.423,1.274,1.288,0,6,4,4,155.294,11.092,17,1204.000,2096.000,1968.000,0.059,0.500,0.500,0.500,nada
15.371,15.672,17.776,0.776,0.533,0.667,1.523,1.132,1.287,0,6,6,14,159.438,10.674,16,2072.000,1258.000,505.000,0.097,0.251,0.500,0.500,nada
22.539,18.133,14.884,1.460,1.026,0.802,2.398,2.030,1.694,0,12,10,6,106.222,8.068,18,532.000,517.000,892.000,0.111,0.326,0.365,0.500,nada
21.803,17.814,16.434,2.580,1.394,1.198,3.032,2.371,2.219,0,48,48,48,84.667,6.430,18,104.000,144.000,134.000,0.600,0.395,0.370,0.314,nada
36.807,22.770,16.374,17.073,5.320,2.071,4.959,3.695,2.986,0,112,40,26,51.579,4.153,20,18.000,287.000,138.000,0.404,0.471,0.384,0.156,humo
49.011,26.779,15.296,12.078,3.740,1.941,5.261,3.628,2.959,0,114,40,26,28.188,4.045,32,7.000,111.000,176.000,0.424,0.286,0.250,0.267,humo
38.786,24.209,17.479,22.520,7.550,2.176,5.231,4.132,3.040,0,184,68,36,51.211,4.123,19,166.000,31.000,111.000,0.611,0.275,0.274,0.151,humo
61.958,32.652,16.826,32.400,11.677,2.502,6.175,5.028,3.284,1,240,104,40,34.263,2.758,39,4.000,166.000,61.000,0.648,0.272,0.250,0.173,humo
22.017,19.262,19.071,14.563,5.726,1.563,2.171,1.888,1.878,0,246,120,44,154.421,12.432,19,105.000,544.000,218.000,0.663,0.439,0.391,0.481,nada
18.743,18.641,19.516,0.541,0.480,0.878,1.153,0.942,1.719,0,4,2,6,148.632,11.966,19,2408.000,1152.000,1760.000,0.027,0.444,0.444,0.093,nada
17.873,17.873,19.778,0.602,0.602,0.626,1.304,1.304,1.369,0,4,4,6,140.889,10.700,18,2024.000,2024.000,1204.000,0.056,0.030,0.030,0.063,nada
16.264,16.397,18.398,0.683,0.513,0.509,1.473,1.061,1.047,0,12,8,6,152.938,10.238,16,678.000,1219.000,2432.000,0.091,0.311,0.426,0.426,nada
28.723,20.396,14.016,5.193,1.656,1.205,4.004,2.650,2.291,0,52,16,16,46.400,3.949,20,23.000,188.000,366.000,0.261,0.456,0.406,0.370,nada
54.636,30.380,17.643,50.501,22.411,8.343,5.635,4.276,3.512,0,462,292,156,36.455,3.442,21,7.000,15.000,82.000,0.793,0.314,0.318,0.379,humo
60.742,29.291,13.434,21.043,8.007,4.091,5.672,4.197,3.480,1,460,270,160,13.400,2.493,36,14.000,30.000,45.000,0.779,0.389,0.282,0.015,humo
82.048,36.719,12.909,9.327,3.773,1.964,5.135,3.869,2.996,1,94,44,32,11.650,2.167,43,16.000,41.000,97.000,0.287,0.420,0.386,0.375,humo
97.562,44.980,15.856,20.056,9.240,3.326,6.202,5.204,3.750,1,206,96,42,5.935,1.306,52,2.000,8.000,41.000,0.510,0.442,0.457,0.443,humo
122.783,57.759,20.435,30.740,16.531,8.017,6.831,5.883,4.781,1,318,170,92,3.351,0.965,60,1.000,9.000,10.000,0.580,0.317,0.310,0.306,humo
116.464,61.410,29.860,78.904,38.214,14.996,7.019,6.184,5.431,1,470,246,136,25.450,2.166,38,309.000,176.000,26.000,0.800,0.381,0.387,0.251,humo
24.237,20.602,18.933,14.255,4.965,1.457,3.197,2.401,2.309,0,230,92,36,94.500,8.043,20,42.000,76.000,113.000,0.604,0.419,0.312,0.314,nada
19.175,19.112,19.508,0.719,0.640,0.872,1.558,1.382,1.823,0,6,4,8,124.211,10.000,19,1052.000,1728.000,573.000,0.053,0.302,0.409,0.054,nada
17.362,17.436,18.261,0.778,0.732,0.745,1.662,1.590,1.588,0,12,10,16,111.706,7.979,17,437.000,586.000,629.000,0.086,0.435,0.435,0.273,nada
32.111,20.262,11.588,9.589,3.771,2.456,4.635,3.368,2.788,0,108,52,34,46.263,3.725,20,59.000,70.000,181.000,0.707,0.443,0.498,0.391,nada
122.794,67.442,28.983,86.635,65.977,41.089,7.281,6.960,5.851,1,486,506,510,27.500,0.891,35,0.000,69.000,3.000,0.961,0.359,0.376,0.386,humo
161.954,94.498,44.608,67.396,74.432,60.455,7.214,7.381,6.415,1,434,492,510,1.532,0.346,57,0.000,2.000,5.000,0.880,0.179,0.168,0.224,humo
95.236,42.715,14.260,48.276,33.715,20.113,6.917,6.232,4.799,1,478,510,416,4.318,0.900,39,2.000,2.000,14.000,0.951,0.168,0.228,0.006,fuego
40.664,20.235,7.645,28.998,13.058,5.999,5.995,4.845,4.052,0,474,312,220,88.875,2.879,9,121.000,8.000,24.000,0.954,0.030,0.175,0.766,nada
39.880,20.172,8.066,55.751,26.204,10.047,4.203,3.706,3.226,0,476,266,148,228.000,6.435,7,259.000,82.000,42.000,0.974,0.382,0.364,0.396,nada
40.852,21.610,10.349,64.048,31.772,14.069,4.139,3.691,3.601,0,508,292,164,184.500,5.980,8,100.000,101.000,16.000,1.000,0.227,0.243,0.219,nada
30.828,17.635,9.613,29.989,13.122,5.875,4.959,4.242,3.667,0,416,214,108,111.111,4.065,9,79.000,22.000,44.000,0.984,0.186,0.197,0.100,nada
21.649,16.172,12.181,16.433,9.285,7.243,4.740,4.081,3.836,0,366,214,110,71.125,2.304,18,17.000,100.000,219.000,0.918,0.317,0.249,0.233,nada
17.049,16.356,15.554,2.929,3.786,5.411,2.736,2.658,2.708,0,64,50,66,83.500,6.342,18,111.000,330.000,301.000,0.818,0.416,0.416,0.425,nada
11.804,7.941,4.267,4.299,4.035,3.757,2.362,2.342,1.986,0,40,38,36,422.500,10.181,6,142.000,1015.000,163.000,0.760,0.339,0.279,0.258,nada
13.398,7.622,2.523,2.716,1.190,1.175,2.907,1.758,2.143,0,36,30,22,280.857,7.927,7,102.000,184.000,276.000,0.565,0.258,0.305,0.342,nada
20.801,9.089,1.952,11.935,2.892,1.641,4.289,2.910,2.558,0,154,48,22,164.750,5.336,8,125.000,236.000,141.000,0.857,0.392,0.331,0.301,nada
24.155,10.646,2.776,28.917,11.234,4.189,3.960,2.929,2.387,0,494,280,134,283.000,7.988,7,25.000,57.000,183.000,0.937,0.311,0.293,0.404,nada
12.174,8.045,3.140,7.026,3.737,2.266,2.291,1.917,1.889,0,470,284,162,391.143,11.044,7,166.000,306.000,244.000,1.000,0.409,0.456,0.394,nada
11.224,8.071,3.576,0.993,0.792,0.739,1.550,1.640,1.471,0,18,12,12,415.143,11.718,7,453.000,566.000,413.000,0.333,0.029,0.019,0.634,nada
11.520,8.071,4.708,1.191,1.051,0.882,1.994,1.884,1.779,0,16,16,12,250.000,7.056,8,329.000,318.000,350.000,0.368,0.175,0.168,0.053,nada
20.524,12.443,5.837,32.113,20.397,11.130,3.943,3.378,3.245,0,510,504,350,121.500,3.935,8,69.000,40.000,109.000,0.991,0.172,0.070,0.257,nada
21.742,12.148,5.781,34.399,22.994,16.018,4.260,3.498,3.243,0,504,510,492,166.000,4.685,8,94.000,61.000,75.000,0.992,0.469,0.469,0.355,nada
10.289,7.000,3.421,6.490,3.200,2.715,2.837,1.906,2.111,0,380,256,210,389.167,9.382,6,217.000,232.000,269.000,1.000,0.222,0.221,0.020,nada
10.598,6.535,2.287,0.944,0.932,0.859,1.899,1.885,1.779,0,18,16,14,438.500,10.566,6,272.000,367.000,410.000,0.571,0.442,0.285,0.252,nada
11.375,6.693,2.392,1.088,0.981,0.896,1.932,1.867,1.705,0,18,18,16,370.667,8.932,6,453.000,392.000,396.000,0.600,0.155,0.048,0.273,nada
12.837,7.950,2.934,1.860,1.288,1.203,2.587,2.248,2.232,0,28,28,22,290.143,8.190,7,130.000,186.000,221.000,0.684,0.217,0.186,0.334,nada
12.559,8.297,3.487,2.012,1.872,1.626,2.637,2.609,2.545,0,46,44,36,295.429,8.339,7,238.000,91.000,106.000,0.840,0.296,0.299,0.283,nada
11.426,8.124,3.444,1.132,1.075,0.891,1.282,1.698,1.549,0,24,24,22,452.857,12.782,7,350.000,842.000,310.000,0.500,0.310,0.448,0.163,nada
10.836,7.626,4.046,1.157,0.872,0.719,1.770,1.593,1.316,0,26,22,18,454.429,12.827,7,365.000,434.000,587.000,0.733,0.448,0.474,0.500,nada
11.284,8.116,4.798,1.406,1.094,1.115,2.377,2.038,2.063,0,12,12,12,233.000,7.547,8,410.000,278.000,546.000,0.294,0.453,0.235,0.441,nada
10.967,7.363,3.430,0.995,1.208,0.845,1.720,2.142,1.524,0,24,24,22,341.143,9.629,7,753.000,263.000,304.000,0.667,0.425,0.434,0.044,nada
9.810,6.692,3.110,1.119,0.770,0.520,1.655,1.527,0.907,0,10,8,8,486.667,11.727,6,2080.000,484.000,1696.000,0.286,0.432,0.205,0.434,nada
9.606,6.436,2.897,1.053,0.662,0.452,1.435,1.280,0.814,0,10,8,14,566.333,13.647,6,1356.000,1294.000,849.000,0.333,0.180,0.547,0.233,nada
9.567,5.755,1.872,1.724,1.059,0.778,2.441,1.948,1.518,0,24,18,16,355.200,7.104,5,196.000,268.000,432.000,0.600,0.265,0.374,0.469,nada
10.120,6.003,1.968,1.224,0.886,0.812,2.092,1.760,1.608,0,24,24,16,321.500,7.747,6,137.000,390.000,580.000,0.714,0.293,0.268,0.252,nada
12.329,7.165,2.125,1.931,1.288,1.155,2.791,2.287,2.134,0,32,24,22,206.429,5.827,7,228.000,186.000,167.000,0.579,0.312,0.248,0.216,nada
11.724,7.567,2.838,1.612,1.225,1.133,2.476,2.204,2.112,0,30,30,26,232.714,6.569,7,144.000,318.000,230.000,0.700,0.474,0.255,0.328,nada
10.913,7.279,3.021,1.475,1.576,1.180,2.285,2.595,2.075,0,16,20,18,311.000,7.494,6,249.000,371.000,222.000,0.444,0.278,0.323,0.138,nada
10.839,7.336,3.315,3.225,3.343,2.959,1.858,2.265,1.986,0,224,224,210,336.500,8.108,6,403.000,129.000,247.000,0.982,0.458,0.414,0.404,nada
11.327,7.567,3.225,4.267,3.736,3.172,2.197,1.933,1.882,0,258,228,202,369.571,10.440,7,178.000,343.000,174.000,1.000,0.381,0.410,0.404,nada
10.613,6.875,3.088,0.959,0.795,0.569,1.813,1.698,1.218,0,20,8,8,296.000,8.355,7,425.000,880.000,944.000,0.333,0.217,0.302,0.428,nada
9.991,6.632,3.043,1.832,1.511,1.110,2.539,2.237,1.963,0,36,30,20,324.333,7.815,6,156.000,173.000,299.000,0.684,0.350,0.430,0.177,nada
9.645,6.071,2.611,1.189,0.923,0.705,2.075,1.677,1.403,0,20,16,16,413.500,9.964,6,335.000,333.000,404.000,0.500,0.834,0.238,0.192,nada
43.024,6.833,1.571,11.583,4.037,1.874,5.547,3.979,2.465,0,184,52,36,159.111,12.084,17,33.000,164.000,935.000,0.805,0.447,0.013,0.100,humo
62.863,18.169,4.447,14.635,7.541,4.744,5.838,4.914,3.651,0,268,118,62,86.542,8.991,27,25.000,46.000,327.000,0.789,0.106,0.170,0.025,humo
79.547,37.166,17.222,20.919,11.536,9.932,6.343,5.418,5.242,1,310,206,126,46.595,7.908,41,17.000,65.000,40.000,0.794,0.002,0.385,0.019,humo
134.555,53.020,12.756,36.429,14.153,10.463,7.063,5.773,4.994,1,428,298,194,14.344,4.510,65,7.000,24.000,90.000,0.844,0.051,0.192,0.051,humo
156.334,69.380,34.727,30.264,15.272,9.396,6.839,5.910,5.273,1,378,224,170,13.683,6.486,87,4.000,20.000,49.000,0.706,0.162,0.097,0.333,humo
44.343,15.643,22.536,40.420,18.035,14.449,6.618,5.266,5.487,0,510,510,510,4201.000,16.886,16,22.000,71.000,60.000,1.000,0.365,0.410,0.232,humo
1.338,1.103,3.143,3.439,3.004,5.363,0.762,0.611,1.745,0,444,482,510,30366.000,122.201,1,1132.000,2457.000,647.000,1.000,0.147,0.046,0.438,nada
1.178,1.107,3.227,2.178,1.658,3.495,0.663,0.717,1.251,0,446,356,510,29600.000,117.563,1,2560.000,3820.000,1218.000,1.000,0.113,0.026,1.714,nada
2.053,1.105,6.431,3.071,2.879,4.029,1.314,1.217,2.906,0,510,510,506,6652.333,79.397,3,2263.000,3110.000,462.000,1.000,0.198,0.252,0.436,nada
1.793,0.950,6.090,1.883,1.648,3.968,1.268,1.269,3.089,0,408,390,504,5506.667,66.508,3,2482.000,2980.000,448.000,1.000,0.096,0.087,0.017,nada
45.993,9.147,2.341,17.280,7.347,2.885,6.081,4.626,2.896,0,330,118,46,151.467,9.467,17,27.000,56.000,611.000,0.948,0.892,0.306,0.274,humo
79.276,21.708,2.610,17.164,7.732,3.375,6.043,4.832,2.980,0,384,174,60,86.655,11.119,33,18.000,49.000,478.000,0.817,0.092,0.050,0.314,humo
71.883,22.610,4.142,32.384,16.019,6.679,6.935,5.791,3.523,0,360,192,136,93.100,3.800,29,15.000,17.000,210.000,0.929,0.384,0.137,0.214,humo
86.653,28.487,4.213,40.569,19.122,6.167,7.123,6.018,3.564,0,380,186,94,45.958,4.775,29,11.000,15.000,219.000,0.897,0.255,0.234,0.066,humo
161.562,71.014,41.932,21.137,16.820,13.877,6.269,6.051,5.625,1,286,216,210,11.906,7.189,92,10.000,22.000,55.000,0.589,0.373,0.169,0.670,humo
36.618,10.512,16.276,42.210,16.258,12.026,6.150,4.346,5.224,0,390,288,286,1416.000,17.286,5,32.000,124.000,42.000,1.000,0.270,0.228,0.225,nada
1.272,1.172,3.216,4.708,4.123,6.542,0.597,0.584,1.413,0,508,508,510,30838.000,123.012,1,1886.000,2683.000,1268.000,1.000,0.500,0.500,0.440,nada
1.574,1.410,3.822,4.521,3.999,5.896,1.230,1.262,2.003,0,510,486,510,19633.000,78.177,1,1603.000,1881.000,807.000,1.000,0.107,0.001,0.373,nada
2.655,1.098,7.034,4.497,3.704,5.788,1.965,1.417,3.118,0,498,510,510,5784.667,69.163,3,800.000,1700.000,369.000,1.000,0.354,0.263,0.258,nada
2.493,1.003,7.356,3.461,2.899,4.868,1.879,1.409,3.233,0,510,506,510,5958.333,71.516,3,821.000,2217.000,425.000,1.000,0.075,0.035,0.160,nada
48.634,6.467,1.956,19.043,5.269,2.638,6.189,4.158,2.693,0,300,80,46,144.067,9.004,17,19.000,101.000,741.000,0.969,0.160,0.313,0.039,humo
62.166,11.193,1.947,15.389,6.211,2.534,5.979,4.603,2.676,0,242,82,42,84.455,7.974,25,18.000,65.000,838.000,0.797,0.684,0.970,0.003,humo
27.785,2.572,0.906,12.187,2.465,0.943,5.454,2.862,1.790,0,178,38,18,574.500,18.607,8,29.000,580.000,1566.000,0.882,0.059,0.106,0.336,humo
89.717,22.160,2.205,51.845,20.006,3.736,7.334,5.618,2.772,1,416,200,74,151.273,6.820,30,24.000,37.000,411.000,0.966,0.308,0.338,0.121,humo
161.355,65.376,35.994,45.849,25.982,14.387,7.418,6.551,5.843,1,484,330,290,6.367,3.473,90,3.000,21.000,20.000,0.937,0.131,0.266,0.096,humo
12.202,2.859,6.517,24.535,6.963,8.315,3.396,2.062,3.307,0,510,510,510,20882.000,83.224,1,142.000,514.000,413.000,1.000,0.176,0.035,0.077,nada
1.416,1.158,3.102,3.820,3.503,5.035,1.119,0.881,1.605,0,510,510,510,27984.000,111.874,1,2322.000,2919.000,1287.000,1.000,0.205,1.060,2.832,nada
2.126,1.591,4.683,4.589,3.648,5.596,1.408,1.365,2.157,0,510,498,510,9339.500,74.372,2,1823.000,720.000,666.000,1.000,0.063,0.335,0.071,nada
3.263,1.008,7.033,3.676,3.113,4.065,2.098,1.365,2.604,0,510,510,510,6590.667,78.575,3,1185.000,2502.000,710.000,1.000,0.275,0.324,0.074,nada
3.391,0.954,7.352,2.988,1.656,4.193,2.358,1.422,2.980,0,426,298,492,5774.000,68.988,3,485.000,2403.000,465.000,1.000,0.323,0.042,0.197,nada
41.556,3.594,1.448,12.505,3.020,1.741,5.598,3.346,2.375,0,250,74,38,228.533,14.283,15,34.000,204.000,900.000,0.887,0.115,0.462,0.133,humo
42.789,3.488,1.045,19.942,2.925,1.305,6.194,3.261,2.017,0,260,44,34,294.818,13.291,13,45.000,387.000,883.000,0.922,0.396,0.188,0.260,humo
46.067,3.124,0.997,23.744,3.097,1.294,6.476,3.262,1.973,0,256,50,34,150.286,8.730,14,137.000,357.000,912.000,0.958,0.314,0.175,0.314,humo
99.725,14.018,1.727,47.570,15.316,2.489,7.373,5.203,2.547,0,410,172,48,103.214,5.996,29,30.000,49.000,796.000,0.874,0.016,0.117,0.193,humo
194.317,68.466,15.637,73.186,33.790,11.470,7.036,6.510,5.228,1,510,510,510,7.366,5.881,105,14.000,7.000,67.000,1.000,0.461,0.452,0.238,humo
1.718,1.095,3.407,4.449,2.795,4.905,1.115,0.790,1.642,0,506,500,510,29970.000,119.524,1,633.000,1702.000,830.000,1.000,0.330,0.067,0.316,nada
1.872,1.433,3.601,5.522,4.489,6.472,1.668,1.512,1.972,0,510,510,510,17704.000,71.106,1,845.000,1592.000,503.000,1.000,3.472,0.389,2.793,nada
2.858,1.327,4.748,5.228,4.312,6.145,1.325,1.188,1.598,0,510,508,510,11919.500,94.427,2,1922.000,2465.000,1160.000,1.000,0.425,0.010,0.281,nada
4.020,1.346,6.505,4.613,3.401,5.061,2.255,1.431,2.566,0,510,508,510,4427.000,52.841,3,680.000,1818.000,540.000,1.000,0.399,0.188,0.320,nada
4.128,1.307,7.042,3.110,2.323,3.175,2.351,1.500,2.346,0,508,508,510,4844.667,57.690,4,1283.000,4805.000,869.000,1.000,0.399,0.088,0.873,nada
33.589,4.163,2.887,13.593,3.629,2.813,5.726,3.569,3.153,0,238,70,54,322.727,14.549,12,19.000,190.000,250.000,0.961,0.482,0.253,0.248,humo
32.856,3.990,3.115,15.921,3.653,2.530,5.884,3.548,3.135,0,220,58,44,275.222,10.069,11,64.000,217.000,359.000,0.922,0.517,0.467,0.005,humo
13.355,1.103,1.254,7.511,0.856,1.045,4.428,1.699,1.992,0,106,16,18,2426.250,38.669,4,140.000,2748.000,1397.000,1.000,0.056,0.013,0.050,nada
78.937,8.506,1.418,57.422,11.282,1.937,7.491,4.442,2.356,0,478,130,42,377.800,7.560,17,56.000,106.000,712.000,1.000,0.158,0.209,0.293,humo
103.847,31.223,6.614,110.739,36.428,10.342,5.525,4.853,4.048,0,510,510,510,7387.000,29.697,2,89.000,109.000,99.000,1.000,0.020,0.040,0.072,humo
1.212,1.154,3.044,3.330,2.985,4.469,0.738,0.755,1.314,0,510,510,510,30213.000,120.016,1,2030.000,2530.000,1477.000,1.000,34.733,6.147,1.580,nada
2.473,1.284,3.958,2.888,2.125,3.472,1.647,1.331,1.364,0,462,412,504,13124.500,104.257,2,1052.000,2027.000,1293.000,1.000,0.567,0.703,0.307,nada
3.732,1.128,4.391,4.136,3.117,4.069,1.813,1.124,1.216,0,502,510,494,11814.000,93.530,2,1347.000,2070.000,1756.000,1.000,1.568,1.872,3.831,nada
6.206,1.400,6.277,3.455,1.592,3.399,3.108,1.636,2.749,0,510,346,498,2528.750,40.367,4,532.000,1620.000,513.000,1.000,0.182,0.137,0.124,nada
7.417,1.605,8.106,2.436,0.679,1.346,3.095,1.484,2.389,0,62,14,58,2539.400,50.788,5,640.000,3498.000,1575.000,0.913,0.163,0.281,0.318,nada
33.305,5.123,5.504,14.484,4.239,3.810,5.814,3.832,3.809,0,312,82,60,254.545,11.492,13,15.000,147.000,179.000,1.000,0.070,0.329,0.057,humo
29.494,3.317,4.387,11.411,2.786,2.484,5.454,3.261,3.277,0,184,44,42,299.900,12.241,12,62.000,354.000,424.000,0.905,0.153,0.025,0.710,humo
28.453,1.622,2.780,10.529,1.474,1.315,5.278,2.407,2.421,0,142,22,20,573.556,20.984,10,40.000,865.000,1482.000,0.857,0.007,0.042,0.269,humo
71.448,8.698,2.668,51.928,15.431,5.922,7.257,4.275,2.757,0,508,210,170,210.455,9.488,14,4.000,60.000,168.000,0.986,0.151,0.170,0.165,humo
24.127,8.006,10.801,62.851,21.085,12.559,3.302,2.334,4.195,0,510,510,510,2509.667,30.254,3,303.000,187.000,59.000,1.000,0.497,0.490,0.306,nada
3.438,1.352,4.860,6.002,3.822,5.218,2.744,1.356,2.765,0,510,508,510,6034.500,48.126,2,329.000,1678.000,460.000,1.000,1.221,0.270,0.553,nada
11.349,1.399,9.813,9.252,2.777,6.671,4.545,1.628,4.063,0,506,464,510,2783.000,22.166,5,104.000,1259.000,235.000,1.000,0.130,0.234,0.052,nada
8.924,1.812,6.478,8.967,6.859,8.645,3.339,1.629,2.477,0,510,510,510,2363.600,47.528,5,298.000,801.000,356.000,1.000,0.502,0.116,0.321,nada
13.347,1.932,8.671,5.057,3.084,3.775,3.699,1.539,3.032,0,504,510,510,1208.571,34.129,7,445.000,1480.000,509.000,1.000,0.420,1.266,0.131,nada
15.937,2.268,11.720,4.641,2.657,4.377,3.724,1.739,3.372,0,508,510,510,931.125,30.162,9,252.000,927.000,293.000,1.000,0.389,0.076,0.126,nada
25.400,3.609,5.385,10.992,2.829,3.263,5.466,3.341,3.648,0,194,46,58,344.700,14.114,11,29.000,242.000,204.000,1.000,0.078,0.105,0.694,humo
30.279,2.781,6.006,9.407,2.209,2.627,5.249,3.003,3.383,0,178,36,52,302.385,16.248,12,42.000,403.000,305.000,1.000,0.219,0.044,0.176,humo
27.025,1.747,3.544,9.461,1.644,2.117,5.194,2.520,3.063,0,160,30,40,393.636,17.746,11,41.000,713.000,399.000,0.946,0.110,1.030,0.059,humo
100.457,23.397,5.813,60.834,25.577,8.536,7.650,5.795,3.817,0,502,208,104,48.722,3.700,27,2.000,30.000,188.000,0.956,0.009,0.340,0.363,humo
69.065,17.917,16.076,67.350,25.550,12.403,7.259,5.040,5.246,0,510,252,450,311.143,8.798,11,8.000,61.000,34.000,1.000,0.363,0.145,0.119,humo
138.324,35.463,12.389,82.279,34.651,12.419,7.562,6.193,5.073,1,510,494,470,51.071,2.975,47,10.000,29.000,60.000,1.000,0.216,0.395,0.423,humo
154.809,40.305,13.239,79.471,40.147,13.467,7.303,6.484,5.162,1,494,510,510,20.226,2.799,50,15.000,21.000,41.000,0.954,0.211,0.298,0.463,humo
39.225,3.648,13.410,34.199,7.837,7.150,5.900,2.897,4.144,0,510,510,510,297.917,14.728,14,11.000,306.000,124.000,1.000,0.414,1.203,0.724,nada
31.138,3.012,15.433,6.366,1.429,2.644,4.561,2.467,3.394,0,150,58,78,298.200,18.638,16,157.000,1184.000,408.000,0.770,0.167,0.113,0.064,nada
35.071,4.724,20.246,8.644,2.081,4.738,4.982,3.004,4.206,0,96,42,70,240.214,13.954,19,211.000,571.000,323.000,0.647,0.184,0.083,0.147,nada
34.136,4.538,5.737,17.328,3.916,3.999,6.062,3.695,3.811,0,268,74,74,252.778,9.256,12,11.000,122.000,160.000,1.000,0.363,0.097,0.030,humo
53.344,4.893,6.550,21.026,4.557,4.712,6.157,3.840,4.091,0,426,80,86,125.118,8.937,19,23.000,127.000,148.000,0.952,0.233,0.132,0.049,humo
127.578,16.687,2.259,79.663,19.687,2.602,7.495,5.359,2.886,1,496,184,42,77.214,4.485,26,8.000,57.000,576.000,0.933,0.490,1.751,0.116,humo
61.984,8.355,3.327,46.462,12.009,4.450,6.932,4.412,3.306,0,498,176,74,175.455,7.910,16,32.000,71.000,269.000,0.966,0.399,0.214,0.342,humo
44.394,10.398,6.321,30.903,9.993,5.153,6.661,4.631,4.117,0,336,104,62,551.000,8.809,12,9.000,141.000,142.000,1.000,0.581,0.463,0.128,humo
189.529,52.434,11.664,72.617,41.891,18.825,6.243,6.868,4.633,1,490,374,218,5.667,4.163,90,31.000,13.000,77.000,0.968,0.052,0.363,0.384,humo
232.959,90.409,29.179,28.479,54.599,36.303,4.744,7.112,5.595,1,308,382,278,12.052,5.213,114,70.000,44.000,57.000,0.677,0.261,0.426,0.456,humo
201.475,54.747,9.845,54.066,33.634,13.435,6.496,6.612,4.391,1,452,280,170,13.559,4.930,83,21.000,12.000,113.000,0.831,0.046,0.092,0.108,humo
122.849,26.167,13.316,51.506,22.322,12.691,7.230,5.882,4.868,1,448,310,166,22.044,4.724,49,30.000,9.000,69.000,0.820,0.188,0.399,0.014,humo
175.113,46.187,23.107,64.982,22.154,13.571,7.014,6.183,5.520,1,430,224,152,8.222,4.485,92,3.000,9.000,28.000,0.753,0.081,0.163,0.901,humo
77.642,11.611,2.449,23.125,6.052,2.727,6.477,4.570,2.932,0,316,78,40,71.600,7.783,28,13.000,80.000,630.000,0.789,0.322,0.362,0.091,humo
174.224,32.735,1.452,57.002,21.412,1.936,7.274,6.188,2.376,1,434,170,36,11.963,8.789,66,7.000,13.000,941.000,0.795,0.008,0.264,0.110,humo
250.817,69.671,0.588,7.915,18.522,0.785,3.220,6.188,1.466,1,120,224,20,18.920,14.818,107,253.000,20.000,2197.000,0.290,0.358,0.248,0.313,humo
229.234,55.306,0.850,40.845,18.475,1.412,4.958,6.050,1.827,1,426,258,32,38.144,26.272,104,47.000,30.000,1292.000,0.790,0.087,0.001,0.072,humo
149.970,28.436,1.445,42.313,9.880,2.013,7.074,5.274,2.376,1,374,128,34,28.902,5.537,52,15.000,68.000,929.000,0.543,0.141,0.097,0.127,humo
