@relation incendios

@attribute 'mediasR' numeric
@attribute 'mediasG' numeric
@attribute 'mediasB' numeric
@attribute 'desvStdR' numeric
@attribute 'desvStdG' numeric
@attribute 'desvStdB' numeric
@attribute 'entropiasR' numeric
@attribute 'entropiasG' numeric
@attribute 'entropiasB' numeric
@attribute 'modaBN' numeric
@attribute 'rangosContrasteR' numeric
@attribute 'rangosContrasteG' numeric
@attribute 'rangosContrasteB' numeric
@attribute 'pendienteOscuridad' numeric
@attribute 'pendienteBrillo' numeric
@attribute 'brilloLimpia' numeric
@attribute 'coeficientesCorrelacionR' numeric
@attribute 'coeficientesCorrelacionG' numeric
@attribute 'coeficientesCorrelacionB' numeric
@attribute 'factorContraste' numeric
@attribute 'anisotropiasR' numeric
@attribute 'anisotropiasG' numeric
@attribute 'anisotropiasB' numeric


@attribute 'class' {nada,humo,fuego}
@data
137.973,38.179,2.780,15.428,7.667,2.220,5.846,4.937,2.993,1,172,90,24,1.629,0.523,60,2.000,6.000,27.000,0.371,0.347,0.362,0.433,humo
124.421,31.884,2.506,23.490,10.135,1.633,6.415,5.122,2.685,1,204,88,16,1.848,0.407,49,0.000,3.000,60.000,0.439,0.409,0.408,0.263,humo
92.317,19.605,2.280,12.269,3.887,1.380,5.386,3.884,2.464,1,108,40,14,4.571,0.727,37,3.000,19.000,98.000,0.317,0.346,0.298,0.207,humo
97.955,22.498,2.938,24.335,9.521,2.336,6.092,4.662,2.994,1,214,92,46,4.424,0.658,34,28.000,4.000,18.000,0.486,0.463,0.470,0.331,humo
107.854,33.196,3.557,24.728,10.694,3.700,5.542,4.476,3.302,1,316,166,54,4.476,0.883,44,2.000,6.000,14.000,0.746,0.441,0.426,0.054,humo
75.479,22.071,6.444,25.228,10.632,5.931,6.265,5.081,4.093,1,230,90,68,2.625,0.488,40,0.000,6.000,13.000,0.966,0.306,0.193,0.058,nada
22.429,6.497,6.591,17.033,6.791,4.600,4.792,3.670,3.678,0,156,76,62,67.143,1.895,7,42.000,17.000,19.000,0.917,0.479,0.459,0.417,nada
13.112,4.012,6.809,2.966,1.393,1.941,2.593,1.915,2.769,0,64,32,28,119.857,3.383,7,108.000,114.000,49.000,0.826,0.092,0.025,0.408,nada
151.573,42.741,2.563,8.904,4.499,1.306,4.892,4.030,2.402,1,72,38,14,2.757,1.043,67,5.000,10.000,129.000,0.150,0.455,0.449,0.257,humo
173.969,53.486,2.862,12.483,7.196,1.914,5.377,4.582,2.890,1,130,90,22,2.625,1.033,74,7.000,13.000,50.000,0.248,0.335,0.304,0.018,humo
